0,1,2
0.0,0.0,0.0
-0.6718458529186584,-0.7199232363283701,-0.5884869798358383
-17.28398308433647,-17.283310076096303,-17.285338472340058
-17.464753801922324,-17.465663234304944,-17.466370979365074
-17.44720734291171,-17.448110764073302,-17.447952021666886
-17.453998723211303,-17.4523110766691,-17.455056476738708
-17.506977344167602,-17.50588205643038,-17.503620805192785
-17.61307994761154,-17.61304524863721,-17.611306451942532
-17.586550499404424,-17.59018232066265,-17.58974039318037
-17.44733387928535,-17.445020588548125,-17.35235679225947
-17.230712601873666,-17.228373472552427,-17.21241897792866
-16.936936996708564,-16.935302928202567,-16.924302604710064
-16.614744801927994,-16.61186168575681,-16.60429702190573
-16.28569246744186,-16.285340782834695,-16.286661480160507
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-13.315570229620532,-13.357418801954191,-13.300208365676975
-17.338760340608133,-17.344451965443263,-17.34054942634561
-17.587965830069475,-17.586896538595862,-17.58692639956509
-17.655025183457447,-17.64637512298852,-17.65148407522186
-17.77450016099268,-17.776106593840336,-17.745589457230825
-17.883777667817736,-17.89860088440416,-17.897521116126867
-17.897646541827097,-17.89693010680977,-17.880902557273114
-17.763035389744644,-17.764224582990977,-17.709458923892694
-17.596938819869997,-17.596538411213512,-17.524366920648266
-17.363031419086997,-17.362706997415604,-17.295411103584318
-17.09420305612019,-17.095813867786674,-16.98475395961336
-16.698832335575357,-16.6984796214824,-16.63002996111271
-16.285179456412592,-16.283891998240072,-16.25015887312998
-15.92953708860174,-15.93054375609481,-15.872815123823518
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-14.596168378252186,-14.709554438645204,-14.703475377199785
-17.48152229648891,-17.50075632575062,-17.502684097135496
-17.794610854580846,-17.798743637154015,-17.79913415900036
-17.927101760980097,-17.957414315168812,-17.955618637963383
-18.126521916774163,-18.14581658299037,-18.14732877790001
-18.14827829786407,-18.163343311144857,-18.16360183848566
-18.181159146231465,-18.1819913424232,-18.18059669735228
-18.132913904013872,-18.131806232895805,-18.13065839125683
-17.98351396592766,-17.982402479329608,-17.98080597853578
-17.826401786545965,-17.82686225417118,-17.82537821303731
-17.69622536232129,-17.69781426088112,-17.697713697003717
-17.37376003837182,-17.37666203485516,-17.374289535883687
-16.49877067895094,-16.499774971991563,-16.22030269725263
-15.890384793758274,-15.890833867376974,-15.639557151866754
-15.49707171646757,-15.496968700446267,-15.346572590904128
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-1.2372818178580676,-1.4248392140673702,-1.4464566728527866
-14.533102974688855,-14.546594252905528,-14.553618983869987
-17.72841495071077,-17.690241072591107,-17.729570945408913
-18.007875976896152,-18.009362860997044,-18.011275828272034
-18.285701422925015,-18.310459427614695,-18.30978632314117
-18.35908622357666,-18.359184011836117,-18.359832962129918
-18.583676058936753,-18.58317886623258,-18.584352502383332
-18.57748322818015,-18.815104988977964,-18.815442666221387
-18.889987723454684,-18.89040278376531,-18.888605886251703
-18.808274832503383,-18.808927357243657,-18.76040008908261
-18.729310766130933,-18.604003890200016,-18.733690394814122
-18.47810229661743,-18.229689791253406,-18.484007124802268
-18.109967665261763,-17.686220963553787,-18.105084099788684
-17.321343248919526,-17.319024833135163,-17.318941399935742
-16.236004505295668,-16.23552354109447,-15.955468462925817
-15.465064456209358,-15.465403904517977,-15.107889586449616
-14.868373643220352,-14.856881571752485,-14.867555337223218
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-7.031386325231631,-7.051571000648044,-6.9125479534193595
-14.993102858365816,-15.617402632124914,-15.608010389265566
-17.87180593068398,-17.877816166068996,-17.87546851967793
-18.212967341813755,-18.198834037574898,-18.21324675725144
-18.469238674611077,-18.467243769267583,-18.46915230276097
-18.619694745657597,-18.621184924522844,-18.621476612978938
-18.81343983057131,-18.92870707748666,-18.929477919296904
-19.12948721574518,-19.180579464656944,-19.180265680221883
-19.310258675283148,-19.229721737840247,-19.309948938802208
-19.324158638366995,-19.32393962350034,-19.111175123978178
-19.28503421732565,-19.285782255188014,-18.888759461476482
-19.228333316519038,-19.228879451417736,-18.64601906190764
-18.63607706792236,-18.634489177700377,-18.05245254481507
-18.164639902425673,-18.168437924483115,-17.383881719121128
-17.100634319402154,-17.10052149508957,-16.927538933859545
-15.722247420838816,-15.720933933400852,-15.354588006825704
-14.894499698593954,-14.896297285134901,-14.36135619612174
-14.062064213863689,-14.061928782809911,-14.062079568622778
0.0,0.0,0.0
0.0,0.0,0.0
-8.251245320630316,-8.420461820378211,-8.438245204729746
-15.286011293600998,-16.054589772396675,-16.051060633478645
-18.039724641602362,-18.043728388061897,-18.04298758175212
-18.440146566686906,-18.459540158507373,-18.45946146707212
-18.614168096120505,-18.620244932938185,-18.620834048581635
-18.907406515054884,-18.910259146146977,-18.90781746622501
-19.01082687733581,-19.18862463595113,-19.188389326392393
-19.346711786121457,-19.48371649033175,-19.48338317917344
-19.470316390914412,-19.53965572968871,-19.53911513852645
-19.57275292287507,-19.5725170651004,-19.572194126992823
-19.5558574023232,-19.555944043307463,-19.537446229272813
-19.41599855667539,-19.415383653386122,-19.019781509577594
-19.217430563616624,-19.220626185749804,-18.50089141205492
-18.847644448578865,-18.845985182873925,-18.146935171744484
-18.001112563149928,-17.176016379320803,-18.000469604146573
-16.51662223851126,-16.520370809050807,-16.014961209904797
-14.952413852119557,-14.951882391978438,-14.558628971116953
-14.157342292449831,-14.157114616016347,-13.745943403148031
-2.5883088719790655,-2.753128458814887,-2.698966468861262
0.0,0.0,0.0
-8.119247275700477,-8.172086967765983,-8.261518138612775
